Epoch, Training Loss, Test Loss, Test Accuracy
1, 4.1433, 3.7721, 10.97
2, 3.6147, 3.4074, 17.62
3, 3.2242, 3.1445, 21.62
4, 2.9035, 2.9074, 26.53
5, 2.5701, 2.5885, 32.38
6, 2.2635, 2.3257, 38.93
7, 2.0125, 2.0408, 45.33
8, 1.8028, 1.9716, 46.22
9, 1.6465, 1.9198, 47.90
10, 1.5120, 1.7778, 51.23
11, 1.3977, 1.6771, 53.71
12, 1.3091, 1.6101, 55.27
13, 1.2334, 1.4885, 57.64
14, 1.1720, 1.4853, 58.40
15, 1.1145, 1.5251, 57.68
16, 1.0631, 1.5353, 57.25
17, 1.0111, 1.5307, 58.39
18, 0.9800, 1.3605, 61.69
19, 0.9410, 1.4181, 60.60
20, 0.9021, 1.4755, 58.82
21, 0.8682, 1.4182, 61.02
22, 0.8427, 1.3439, 62.22
23, 0.8149, 1.3644, 62.39
24, 0.7918, 1.3093, 63.99
25, 0.7514, 1.3652, 62.20
26, 0.7427, 1.5065, 59.42
27, 0.7150, 1.3052, 64.03
28, 0.6987, 1.3720, 63.31
29, 0.6795, 1.3214, 63.56
30, 0.6545, 1.4806, 61.63
31, 0.6433, 1.3610, 62.84
32, 0.6287, 1.2308, 66.18
33, 0.6081, 1.4493, 61.16
34, 0.5937, 1.3484, 63.51
35, 0.5917, 1.2821, 64.25
36, 0.5705, 1.3469, 63.89
37, 0.5519, 1.4071, 62.95
38, 0.5359, 1.4816, 61.08
39, 0.5327, 1.3711, 64.23
40, 0.5198, 1.3412, 63.40
41, 0.5094, 1.2833, 64.43
42, 0.4949, 1.2899, 65.27
43, 0.4780, 1.3214, 64.89
44, 0.4667, 1.3166, 64.56
45, 0.4635, 1.3216, 64.71
46, 0.4596, 1.2638, 65.49
47, 0.4482, 1.3038, 65.41
48, 0.4369, 1.3631, 64.41
49, 0.4264, 1.3564, 65.06
50, 0.4158, 1.3140, 65.58
51, 0.4062, 1.3625, 64.31
52, 0.4072, 1.3036, 64.79
53, 0.3915, 1.4167, 62.47
54, 0.3923, 1.2734, 66.35
55, 0.3790, 1.3028, 65.77
56, 0.3759, 1.2928, 65.62
57, 0.3615, 1.2985, 66.40
58, 0.3600, 1.3836, 64.30
59, 0.3554, 1.2820, 66.52
60, 0.3544, 1.2246, 67.49
61, 0.3334, 1.3681, 65.50
62, 0.3354, 1.2769, 66.67
63, 0.3231, 1.3285, 65.50
64, 0.3203, 1.2837, 66.55
65, 0.3121, 1.3509, 65.87
66, 0.3084, 1.2558, 66.88
67, 0.2956, 1.4132, 64.51
68, 0.3025, 1.3298, 66.05
69, 0.2889, 1.3191, 65.40
70, 0.2788, 1.3154, 66.67
71, 0.2796, 1.2247, 68.41
72, 0.2731, 1.3472, 65.34
73, 0.2633, 1.2926, 66.37
74, 0.2622, 1.4192, 64.97
75, 0.2538, 1.2527, 67.66
76, 0.2478, 1.2394, 68.05
77, 0.2447, 1.3113, 66.41
