Epoch, Training Loss, Test Loss, Test Accuracy
1, 3.9720, 3.5681, 14.24
2, 3.4228, 3.2226, 20.95
3, 3.0409, 2.9956, 24.44
4, 2.6706, 2.7008, 31.23
5, 2.3138, 2.2998, 38.80
6, 2.0111, 2.1771, 41.86
7, 1.8007, 1.9130, 48.46
8, 1.6257, 1.7692, 51.23
9, 1.4945, 1.7425, 51.81
10, 1.3813, 1.6002, 54.39
11, 1.2971, 1.5154, 57.58
12, 1.2241, 1.5827, 55.80
13, 1.1588, 1.4489, 58.83
14, 1.1048, 1.5570, 57.49
15, 1.0598, 1.3946, 61.00
16, 1.0147, 1.4930, 58.00
17, 0.9714, 1.3636, 61.60
18, 0.9442, 1.3529, 62.17
19, 0.9065, 1.3385, 62.34
20, 0.8651, 1.4550, 60.11
21, 0.8397, 1.3572, 62.64
22, 0.8173, 1.3844, 61.31
23, 0.7920, 1.4958, 60.41
24, 0.7648, 1.3713, 62.13
25, 0.7385, 1.4766, 60.29
26, 0.7196, 1.3482, 62.19
27, 0.7038, 1.2664, 65.25
28, 0.6770, 1.3799, 62.07
29, 0.6654, 1.3097, 63.42
30, 0.6420, 1.4186, 62.82
31, 0.6313, 1.4171, 61.50
32, 0.6231, 1.2771, 65.00
33, 0.6078, 1.3689, 63.28
34, 0.5830, 1.2540, 65.75
35, 0.5786, 1.2385, 65.63
36, 0.5596, 1.5287, 60.90
37, 0.5532, 1.2178, 66.56
38, 0.5361, 1.3979, 63.83
39, 0.5364, 1.2863, 64.96
40, 0.5141, 1.3334, 63.79
41, 0.5028, 1.3679, 63.31
42, 0.4871, 1.3134, 65.25
43, 0.4850, 1.3004, 65.24
44, 0.4766, 1.3060, 64.65
45, 0.4607, 1.2939, 65.24
46, 0.4562, 1.2181, 66.89
47, 0.4432, 1.3005, 64.85
48, 0.4336, 1.3287, 65.08
49, 0.4319, 1.2841, 65.73
50, 0.4145, 1.2556, 67.17
51, 0.4108, 1.2185, 66.83
52, 0.4024, 1.4000, 63.72
53, 0.4014, 1.2852, 65.35
54, 0.3929, 1.2356, 66.39
55, 0.3766, 1.2197, 67.18
56, 0.3730, 1.2817, 65.60
57, 0.3681, 1.3052, 65.78
58, 0.3542, 1.4357, 63.59
59, 0.3539, 1.3316, 65.23
60, 0.3504, 1.3763, 65.16
61, 0.3386, 1.3915, 64.36
62, 0.3352, 1.3163, 65.92
63, 0.3278, 1.4147, 63.81
64, 0.3216, 1.2705, 67.06
65, 0.3179, 1.2945, 66.76
66, 0.3061, 1.2587, 66.39
67, 0.2935, 1.3204, 65.23
68, 0.2958, 1.4241, 64.70
69, 0.2904, 1.2990, 66.12
70, 0.2808, 1.2456, 68.00
71, 0.2780, 1.2822, 67.02
72, 0.2770, 1.2212, 68.45
73, 0.2661, 1.2468, 67.41
74, 0.2583, 1.2783, 67.68
75, 0.2534, 1.2339, 68.25
76, 0.2508, 1.2530, 67.42
77, 0.2417, 1.2303, 68.00
78, 0.2394, 1.3438, 66.88
79, 0.2289, 1.2630, 67.94
80, 0.2259, 1.2002, 68.61
81, 0.2255, 1.1903, 68.90
82, 0.2206, 1.3176, 66.23
